For experiment #75: Vertices = 52, and for Density = 0.12, Time Taken: 0.000000 milliseconds
For experiment #76: Vertices = 76, and for Density = 0.58, Time Taken: 0.000000 milliseconds
For experiment #77: Vertices = 56, and for Density = 0.68, Time Taken: 0.000992 milliseconds
For experiment #78: Vertices = 22, and for Density = 0.47, Time Taken: 0.000000 milliseconds
For experiment #79: Vertices = 1, and for Density = 0.71, Time Taken: 0.000000 milliseconds
For experiment #80: Vertices = 50, and for Density = 0.16, Time Taken: 0.000000 milliseconds
For experiment #81: Vertices = 56, and for Density = 0.31, Time Taken: 0.000000 milliseconds
For experiment #82: Vertices = 80, and for Density = 0.50, Time Taken: 0.000000 milliseconds
For experiment #83: Vertices = 78, and for Density = 0.87, Time Taken: 0.000000 milliseconds
For experiment #84: Vertices = 20, and for Density = 0.55, Time Taken: 0.000000 milliseconds
For experiment #85: Vertices = 98, and for Density = 0.63, Time Taken: 0.000000 milliseconds
For experiment #86: Vertices = 91, and for Density = 0.65, Time Taken: 0.000000 milliseconds
For experiment #87: Vertices = 23, and for Density = 0.17, Time Taken: 0.000000 milliseconds
For experiment #88: Vertices = 44, and for Density = 0.63, Time Taken: 0.000000 milliseconds
For experiment #89: Vertices = 73, and for Density = 0.18, Time Taken: 0.000000 milliseconds
For experiment #90: Vertices = 36, and for Density = 0.26, Time Taken: 0.000000 milliseconds
For experiment #91: Vertices = 12, and for Density = 0.15, Time Taken: 0.000000 milliseconds
For experiment #92: Vertices = 88, and for Density = 0.15, Time Taken: 0.000000 milliseconds
For experiment #93: Vertices = 64, and for Density = 0.55, Time Taken: 0.000000 milliseconds
For experiment #94: Vertices = 93, and for Density = 0.89, Time Taken: 0.000000 milliseconds
For experiment #95: Vertices = 5, and for Density = 0.44, Time Taken: 0.000000 milliseconds
For experiment #96: Vertices = 50, and for Density = 0.87, Time Taken: 0.000000 milliseconds
For experiment #97: Vertices = 58, and for Density = 0.30, Time Taken: 0.000000 milliseconds
For experiment #98: Vertices = 19, and for Density = 0.79, Time Taken: 0.000000 milliseconds
For experiment #99: Vertices = 9, and for Density = 0.92, Time Taken: 0.000000 milliseconds
For experiment #100: Vertices = 65, and for Density = 0.69, Time Taken: 0.000000 milliseconds
For experiment #101: Vertices = 97, and for Density = 0.22, Time Taken: 0.000000 milliseconds
For experiment #102: Vertices = 69, and for Density = 0.16, Time Taken: 0.000000 milliseconds
For experiment #103: Vertices = 89, and for Density = 0.62, Time Taken: 0.000000 milliseconds
For experiment #104: Vertices = 96, and for Density = 0.93, Time Taken: 0.000000 milliseconds
For experiment #105: Vertices = 47, and for Density = 0.19, Time Taken: 0.000000 milliseconds
For experiment #106: Vertices = 89, and for Density = 0.70, Time Taken: 0.000000 milliseconds
For experiment #107: Vertices = 30, and for Density = 0.79, Time Taken: 0.000000 milliseconds
For experiment #108: Vertices = 17, and for Density = 0.49, Time Taken: 0.000000 milliseconds
For experiment #109: Vertices = 46, and for Density = 0.13, Time Taken: 0.000000 milliseconds
For experiment #110: Vertices = 20, and for Density = 0.06, Time Taken: 0.000000 milliseconds
For experiment #111: Vertices = 66, and for Density = 0.93, Time Taken: 0.000000 milliseconds
For experiment #112: Vertices = 55, and for Density = 0.37, Time Taken: 0.000000 milliseconds
For experiment #113: Vertices = 55, and for Density = 0.53, Time Taken: 0.000000 milliseconds
For experiment #114: Vertices = 7, and for Density = 0.52, Time Taken: 0.000000 milliseconds
For experiment #115: Vertices = 13, and for Density = 0.73, Time Taken: 0.000000 milliseconds
For experiment #116: Vertices = 47, and for Density = 0.63, Time Taken: 0.000000 milliseconds
For experiment #117: Vertices = 47, and for Density = 0.49, Time Taken: 0.000000 milliseconds
For experiment #118: Vertices = 94, and for Density = 0.16, Time Taken: 0.000000 milliseconds
For experiment #119: Vertices = 78, and for Density = 0.25, Time Taken: 0.000000 milliseconds
For experiment #120: Vertices = 6, and for Density = 0.22, Time Taken: 0.000000 milliseconds
For experiment #121: Vertices = 12, and for Density = 0.24, Time Taken: 0.000000 milliseconds
For experiment #122: Vertices = 60, and for Density = 0.95, Time Taken: 0.000000 milliseconds
For experiment #123: Vertices = 71, and for Density = 0.42, Time Taken: 0.000000 milliseconds
For experiment #124: Vertices = 15, and for Density = 0.72, Time Taken: 0.000000 milliseconds
For experiment #125: Vertices = 16, and for Density = 0.02, Time Taken: 0.000000 milliseconds
For experiment #126: Vertices = 85, and for Density = 0.58, Time Taken: 0.000000 milliseconds
For experiment #127: Vertices = 51, and for Density = 0.35, Time Taken: 0.000000 milliseconds
For experiment #128: Vertices = 79, and for Density = 0.15, Time Taken: 0.000000 milliseconds
For experiment #129: Vertices = 44, and for Density = 0.45, Time Taken: 0.000000 milliseconds
For experiment #130: Vertices = 38, and for Density = 0.99, Time Taken: 0.000000 milliseconds
For experiment #131: Vertices = 51, and for Density = 0.59, Time Taken: 0.000000 milliseconds
For experiment #132: Vertices = 18, and for Density = 0.40, Time Taken: 0.000000 milliseconds
For experiment #133: Vertices = 65, and for Density = 0.66, Time Taken: 0.000000 milliseconds
For experiment #134: Vertices = 99, and for Density = 0.32, Time Taken: 0.000997 milliseconds
For experiment #135: Vertices = 63, and for Density = 0.61, Time Taken: 0.000000 milliseconds
For experiment #136: Vertices = 94, and for Density = 0.80, Time Taken: 0.000000 milliseconds
